0 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999957680703115, 0.0, 4.722369433936757e-05], [-0.0029088849306010967, 0.9994688034297701, 0.03245996577089105], [4.722369433936757e-05, -0.03245996577089105, 0.9994730353594584]], [0.0,0.0,0.0]
1 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999952614309315, 0.0, 4.919157389083467e-05], [-0.0030780993724743855, 0.999484598632328, 0.031954066837056594], [4.919157389083467e-05, -0.031954066837056594, 0.9994893372013964]], [-0.0,-0.0,-0.0]
2 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999957680703115, 0.0, 4.6764769726635215e-05], [-0.0029088923870625866, 0.9994789958532384, 0.03214459895508481], [4.6764769726635215e-05, -0.03214459895508481, 0.9994832277829269]], [-0.0,-0.0,-0.0]
3 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999950826165114, 0.0, 5.028337396036867e-05], [-0.003135636273187095, 0.9994809031341364, 0.032063875370296646], [5.028337396036867e-05, -0.032063875370296646, 0.9994858205176251]], [-0.0,-0.0,-0.0]
4 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999952912330213, 0.0, 4.935327746531659e-05], [-0.0030683995010146736, 0.9994780122919317, 0.032160345295007886], [4.935327746531659e-05, -0.032160345295007886, 0.9994827210589103]], [-0.0,-0.0,-0.0]
5 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999955594541455, 0.0, 4.795325925615983e-05], [-0.0029797268716675457, 0.9994777143178348, 0.03217793935099689], [4.795325925615983e-05, -0.03217793935099689, 0.9994821548636893]], [-0.0,-0.0,-0.0]
6 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999952018260112, 0.0, 5.003299641467493e-05], [-0.0030973895863359857, 0.9994734823685486, 0.032298053891082645], [5.003299641467493e-05, -0.032298053891082645, 0.9994782805425374]], [-0.0,-0.0,-0.0]
7 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999955296514905, 0.0, 4.825630421493405e-05], [-0.002989707028938249, 0.9994746148074803, 0.03227314639925094], [4.825630421493405e-05, -0.03227314639925094, 0.9994790851559898]], [-0.0,-0.0,-0.0]
8 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999959170821081, 0.0, 4.590492021586557e-05], [-0.0028572210044608137, 0.9994798004822167, 0.032124207667190596], [4.590492021586557e-05, -0.032124207667190596, 0.9994838834001087]], [-0.0,-0.0,-0.0]
9 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999957680703115, 0.0, 4.6872525349256604e-05], [-0.002908890653001775, 0.9994766116111138, 0.03221864749879155], [4.6872525349256604e-05, -0.03221864749879155, 0.9994808435408022]], [-0.0,-0.0,-0.0]
10 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999957680703115, 0.0, 4.670405050352872e-05], [-0.0029088932540929924, 0.9994803369327381, 0.03210287208223672], [4.670405050352872e-05, -0.03210287208223672, 0.9994845688624264]], [-0.0,-0.0,-0.0]
11 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999955594541455, 0.0, 4.793670092528889e-05], [-0.0029797272269250635, 0.9994780718814633, 0.03216683209635085], [4.793670092528889e-05, -0.03216683209635085, 0.9994825124273177]], [-0.0,-0.0,-0.0]
12 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999952912330213, 0.0, 4.9082409317417405e-05], [-0.0030684038909684075, 0.99948367472804, 0.03198388376609573], [4.9082409317417405e-05, -0.03198388376609573, 0.9994883834950187]], [-0.0,-0.0,-0.0]
13 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999947547909768, 0.0, 5.1716780856002516e-05], [-0.0032384742967338925, 0.9994848369954712, 0.031930751428432824], [5.1716780856002516e-05, -0.031930751428432824, 0.9994900822044945]], [-0.0,-0.0,-0.0]
14 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999949634075165, 0.0, 5.084347912998055e-05], [-0.003173416858771816, 0.9994817077930312, 0.03203506226831232], [5.084347912998055e-05, -0.03203506226831232, 0.9994867443855148]], [-0.0,-0.0,-0.0]
15 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999940991403171, 0.0, 5.5248442949171195e-05], [-0.003434913605635137, 0.9994768201992275, 0.03216033570922683], [5.5248442949171195e-05, -0.03216033570922683, 0.9994827210589103]], [-0.0,-0.0,-0.0]
16 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.999994009732828, 0.0, 5.569908128540439e-05], [-0.0034608375884743886, 0.9994761050105558, 0.03217977906859182], [5.569908128540439e-05, -0.03217977906859182, 0.9994820952777278]], [-0.0,-0.0,-0.0]
17 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999947249891965, 0.0, 5.214161216262475e-05], [-0.003247656856118386, 0.9994793236335996, 0.032101936950788], [5.214161216262475e-05, -0.032101936950788, 0.9994845986444031]], [-0.0,-0.0,-0.0]
18 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999944567680444, 0.0, 5.3190560170882605e-05], [-0.0033292047297411864, 0.9994840621617929, 0.03194567103087831], [5.3190560170882605e-05, -0.03194567103087831, 0.9994896053937484]], [-0.0,-0.0,-0.0]
19 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9999914169319654, 1.1709028159244812e-05, -0.0007812395733741914], [-0.004042024562415727, 0.9994878769228963, 0.03174343833539712], [0.0009099995029914418, -0.03174000808961335, 0.9994957447352193]], [-0.0,-0.0,-0.0]
20 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9998826980573788, 0.00018968429959145827, -0.01441367289912465], [-0.004729173185688983, 0.9995031357056872, 0.03116274376150395], [0.014567945558802588, -0.03109092355308664, 0.9994103908761515]], [-0.0,-0.0,-0.01]
21 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9987456797642559, 0.0006315008938986193, -0.049639639050175134], [-0.005004715019996973, 0.9994975328687952, 0.03129911520125687], [0.049819875239429066, -0.031011423839303852, 0.9982766508376165]], [0.02,-0.04,-0.12]
22 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9946323036426473, 0.0012641158123743602, -0.10311481514715493], [-0.0053473192211064835, 0.999481409817753, 0.03175401651408806], [0.1033343423184715, -0.03103218273370177, 0.9941624700570273]], [0.02,-0.04,-0.14]
23 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.977174133393404, 0.0024479801510383647, -0.2120768803157004], [-0.005585750736744777, 0.9994474052990461, 0.032767110409215316], [0.21236646706542447, -0.030834564293331646, 0.9767034950843952]], [0.02,-0.06,-0.17]
24 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9634974883277535, 0.0029906628870789292, -0.26734077620861596], [-0.005526117674209907, 0.9994350969629793, 0.03315039827160211], [0.2676603203078298, -0.030462968701377144, 0.9630316482158128]], [0.02,-0.06,-0.19]
25 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9436669620487103, 0.0035064564030521383, -0.3304941328125993], [-0.00557910145918894, 0.9994259178223269, 0.03341718678815564], [0.33084971592936496, -0.02969083471115397, 0.9432162614898099]], [0.02,-0.08,-0.2]
26 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9186544774445023, 0.0038987839896728466, -0.39463215463170453], [-0.005667038887213871, 0.9994238019165044, 0.03346563699393014], [0.39502131520756467, -0.02850696161215581, 0.9182295559486702]], [0.03,-0.08,-0.2]
27 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.8907760074108586, 0.004132623606451585, -0.4539984959402594], [-0.005639636357327671, 0.9994343816978176, 0.033152845089886], [0.4544076259581709, -0.02697137231641658, 0.8903854479503314]], [0.03,-0.09,-0.21]
28 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.8617703746669929, 0.004288458287696917, -0.506832540239545], [-0.005690394207191529, 0.9994327426266821, 0.03319356041694993], [0.5072666544473117, -0.025721150531331782, 0.8614052366352862]], [0.03,-0.09,-0.22]
29 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.8387956223187458, 0.004392086597787226, -0.5439630921374554], [-0.005680869761036211, 0.999426543718007, 0.03338130477228385], [0.5444168012925321, -0.02490990940267712, 0.8384449086036492]], [0.03,-0.09,-0.23]
30 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.8212633741858073, 0.004506659458525242, -0.5700480895433433], [-0.005640794985155573, 0.9994129836542259, 0.03379156084303392], [0.5705213988508486, -0.024536247257777033, 0.8209161473296533]], [0.03,-0.09,-0.23]
31 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.806767176421216, 0.004692132026867801, -0.5903568736167636], [-0.0054085273810689505, 0.9993981420746206, 0.03426516447086353], [0.5908447223449037, -0.024451049056191165, 0.8064147043219032]], [0.03,-0.09,-0.23]
32 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7903940744007883, 0.004919756017252586, -0.6120761432069326], [-0.00506971110946719, 0.9993828535029806, 0.034759317011966995], [0.6125777448689167, -0.024370508684151138, 0.7900345391848802]], [0.05,-0.09,-0.27]
33 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7795295836494093, 0.005037210213082122, -0.6258168304930406], [-0.005112299588593605, 0.9993571043056416, 0.03548580750024721], [0.6263445662319741, -0.02446287419703619, 0.7791624190219233]], [0.06,-0.09,-0.29]
34 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7785798751937426, 0.005230043807751716, -0.6269650633588787], [-0.005178920139565002, 0.9993172586172842, 0.03658135546308372], [0.627524187521845, -0.02523450643796299, 0.7781880640580408]], [0.06,-0.09,-0.29]
35 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7787358881744102, 0.005397537870920899, -0.6267402952583025], [-0.005274271286740739, 0.9992787838203936, 0.037604445654739416], [0.6273297523782149, -0.02597833355995094, 0.7783203246034482]], [0.06,-0.09,-0.29]
36 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7814828021530226, 0.005639042740474165, -0.6232820051927382], [-0.005295847258141695, 0.9992320537481634, 0.03882340586199068], [0.6239043246594528, -0.02703901830758043, 0.7810328466807166]], [0.06,-0.09,-0.29]
37 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.7989702882745668, 0.0058146298035779975, -0.6007165784040324], [-0.005274274133651891, 0.9992009102767991, 0.039619728163010126], [0.6013473552800194, -0.028486641200481, 0.7984797121658485]], [0.05,-0.09,-0.24]
38 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.8415141644405928, 0.00565897405863236, -0.539615039565193], [-0.005388120032066013, 0.9992046058656148, 0.03951106037994645], [0.5402082021789866, -0.030341607008193883, 0.8409842494072035]], [0.04,-0.09,-0.15]
39 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9059053016535747, 0.0051391881003966244, -0.4228666273057418], [-0.006095998332149688, 0.9991491734424073, 0.0407893118836595], [0.4234364388414586, -0.034373459443869187, 0.9052734625562808]], [0.03,-0.06,-0.06]
40 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9550804226840542, 0.003917706346260125, -0.29579555958567183], [-0.006508016008290429, 0.9991780220715746, 0.04001157231866956], [0.29627526218805955, -0.03628922712609664, 0.9544129400040684]], [0.03,-0.03,-0.01]
41 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9876447617474938, 0.0022043672936047365, -0.15618077760149712], [-0.006896767524680325, 0.9992283880059104, 0.03866604704284321], [0.15655752642382642, -0.03711117629745192, 0.9869713782057463]], [0.02,-0.0,0.04]
